Ranks,Name  / Short name (if applicable),Height,Range
1,3,Kangchenjunga,"8,586"
2,23,Nanda Devi,"7,816"
3,29,Kamet,"7,756"
4,31,Saltoro Kangri/ K10,"7,742"
5,35,Saser KangriI / K22,"7,672"
6,48,Mamostong Kangri/ K35,"7,516"
7,49,Saser KangriII E,"7,513"
8,51,Saser KangriIII,"7,495"
9,56,Teram KangriI,"7,462"
10,57,Jongsong Peak,"7,462"
11,61,K12,"7,428"
12,65,KabruN,"7,412"
13,69,Ghent Kangri,"7,401"
14,71,Rimo I,"7,385"
15,73,Teram Kangri III,"7,382"
16,76,Kirat Chuli,"7,362"
17,92,Mana Peak,"7,272"
18,96,Apsarasas Kangri,"7,245"
19,97,Mukut Parbat,"7,242"
20,98,Rimo III,"7,233"
21,108,Singhi Kangri,"7,202"
22,,Hardeol,"7,161"
23,,Chaukhamba I,"7,138"
24,,Nun-Kun,"7,135"
